age_group,scenario_name,target,target_end_date,location,value,type,quantile,model_projection_date
0-4,no_change,3 wk ahead inc case,07/10/2021,Virginia,21,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Virginia,11,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Virginia,14,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Virginia,21,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Virginia,7,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Virginia,14,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Virginia,19,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Virginia,7,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Virginia,9,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Virginia,14,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Vermont,0,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Vermont,0,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Vermont,0,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Vermont,0,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Vermont,0,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Vermont,0,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Vermont,0,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Vermont,0,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Vermont,0,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Vermont,0,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Vermont,0,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Vermont,0,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Vermont,0,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Vermont,0,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Vermont,0,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Vermont,0,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Vermont,0,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Vermont,0,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Washington,92,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Washington,109,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Washington,121,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Washington,94,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Washington,106,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Washington,117,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Washington,98,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Washington,116,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Washington,138,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Washington,93,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Washington,124,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Washington,163,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Washington,88,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Washington,128,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Washington,190,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Washington,80,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Washington,133,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Washington,212,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Wisconsin,7,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Wisconsin,10,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Wisconsin,13,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Wisconsin,7,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Wisconsin,7,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Wisconsin,7,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Wisconsin,7,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Wisconsin,7,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Wisconsin,7,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Wisconsin,7,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Wisconsin,7,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Wisconsin,7,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Wisconsin,0,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Wisconsin,7,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Wisconsin,7,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Wisconsin,0,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Wisconsin,2,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Wisconsin,7,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,West Virginia,8,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,West Virginia,13,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,West Virginia,16,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,West Virginia,7,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,West Virginia,7,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,West Virginia,9,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,West Virginia,7,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,West Virginia,7,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,West Virginia,7,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,West Virginia,7,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,West Virginia,7,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,West Virginia,7,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,West Virginia,3,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,West Virginia,7,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,West Virginia,7,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,West Virginia,0,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,West Virginia,7,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,West Virginia,7,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Wyoming,7,quantile,0.025,06/20/2021
