fips,Scenario_1_sum,Scenario_1_diff,Scenario_2_sum,Scenario_2_diff,Scenario_3_sum,Scenario_3_diff
27051,0,0,0,0,0,0
27053,6274,-85,6520,-39,6201,-97
27055,26,-1,25,-1,26,-1
27057,46,-1,46,-1,45,-1
27059,192,8,177,4,189,8
27061,291,4,290,2,284,3
27063,2,-1,2,-1,2,-1
27065,24,-1,26,-1,25,-1
27067,123,2,121,0,120,1
27069,0,0,0,0,0,0
27071,20,-2,23,-1,18,-2
27073,21,0,20,0,21,0
27075,12,-1,18,0,10,-1
27077,0,0,0,0,0,0
27079,39,-2,41,-1,40,-1
27081,0,0,0,0,0,0
27083,110,3,110,2,114,4
27085,165,0,162,-1,159,-1
27087,2,-1,2,-1,2,-1
27089,0,0,0,0,0,0
27091,64,0,62,-1,62,-1
27093,53,0,47,-1,53,0
27095,102,4,97,3,98,3
27097,221,7,211,4,213,5
27099,152,0,153,-1,149,-1
27101,35,-1,35,-1,35,-1
27103,55,-1,54,-2,50,-2
27105,64,-1,61,-1,60,-1
27107,0,0,0,0,0,0
27109,816,-5,842,-4,807,-9
27111,227,6,222,4,226,6
27113,0,0,0,0,0,0
27115,56,-1,60,-1,55,-1
27117,17,1,15,1,14,1
27119,176,2,180,1,179,2
27121,57,-2,58,-1,56,-2
27123,2630,-25,2689,-19,2594,-30
27125,0,0,0,0,0,0
27127,17,-2,21,-1,14,-2
27129,49,-2,54,-1,46,-2
27131,202,2,200,2,200,2
27133,45,2,41,1,40,1
27135,4,-1,5,-1,4,-1
27137,1136,4,1162,7,1129,3
27139,835,8,850,9,818,6
27141,330,6,325,4,326,4
27143,16,0,18,0,15,0
27145,888,7,883,6,863,3
27147,98,1,94,1,93,1
27149,17,0,18,0,16,0
27151,1,0,0,0,0,0
27153,30,-1,29,-1,31,0
27155,0,0,0,0,0,0
27157,70,1,65,0,68,0
27159,57,1,59,1,56,1
27161,11,-1,11,-1,11,-1
27163,959,-16,986,-13,947,-19
27165,28,1,25,0,29,1
27167,0,0,0,0,0,0
27169,163,-2,163,-2,158,-3
27171,540,5,545,2,537,4
27173,54,1,56,1,56,1
28001,161,0,164,1,150,0
28003,286,9,274,4,280,8
28005,26,0,24,0,25,0
28007,126,2,127,2,126,2
28009,34,1,36,1,34,0
28011,346,12,332,8,345,11
28013,62,1,59,1,64,2
28015,114,3,112,2,112,3
28017,81,1,79,1,78,1
28019,8,-1,8,-1,7,-1
28021,24,1,23,0,22,1
28023,38,0,39,0,42,0
28025,89,1,93,1,87,0
28027,135,-1,139,-1,131,-2
28029,232,3,235,3,231,2
28031,143,4,137,3,137,3
28033,1481,2,1491,1,1454,-1
28035,705,13,685,7,677,10
28037,10,1,9,1,5,1
28039,113,-2,120,-1,117,-2
28041,49,1,54,1,48,0
28043,130,3,124,1,122,2
28045,347,6,344,4,345,5
28047,1946,54,1897,35,1908,44
28049,1895,6,1920,8,1865,-2
28051,91,2,90,2,90,4
28053,5,0,11,1,4,0
28055,0,0,0,0,0,0
28057,97,-5,106,-4,97,-5
28059,1194,19,1200,11,1178,19
28061,15,-1,19,-1,14,-1
28063,0,0,0,0,0,0
28065,21,0,21,0,21,0
28067,519,21,482,12,500,21
28069,54,0,57,1,56,0
28071,542,8,527,6,534,8
28073,700,17,670,9,670,13
28075,272,5,261,1,271,3
28077,51,1,51,1,51,1
28079,65,0,64,0,64,-1
28081,815,10,824,8,800,4
28083,413,18,388,11,408,16
