age_group,scenario_name,target,target_end_date,location,value,type,quantile,model_projection_date
18-49,no_change,2 wk ahead inc case,06/12/2021,Georgia,1073,quantile,0.5,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Georgia,1191,quantile,0.975,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Georgia,710,quantile,0.025,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Georgia,834,quantile,0.5,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Georgia,975,quantile,0.975,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Georgia,504,quantile,0.025,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Georgia,654,quantile,0.5,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Georgia,865,quantile,0.975,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Georgia,356,quantile,0.025,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Georgia,527,quantile,0.5,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Georgia,789,quantile,0.975,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Georgia,254,quantile,0.025,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Georgia,429,quantile,0.5,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Georgia,727,quantile,0.975,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Hawaii,84,quantile,0.025,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Hawaii,137,quantile,0.5,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Hawaii,199,quantile,0.975,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Hawaii,48,quantile,0.025,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Hawaii,70,quantile,0.5,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Hawaii,96,quantile,0.975,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Hawaii,26,quantile,0.025,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Hawaii,33,quantile,0.5,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Hawaii,42,quantile,0.975,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Hawaii,13,quantile,0.025,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Hawaii,17,quantile,0.5,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Hawaii,20,quantile,0.975,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Hawaii,7,quantile,0.025,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Hawaii,8,quantile,0.5,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Hawaii,10,quantile,0.975,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Hawaii,3,quantile,0.025,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Hawaii,6,quantile,0.5,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Hawaii,7,quantile,0.975,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Iowa,213,quantile,0.025,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Iowa,270,quantile,0.5,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Iowa,334,quantile,0.975,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Iowa,146,quantile,0.025,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Iowa,172,quantile,0.5,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Iowa,200,quantile,0.975,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Iowa,95,quantile,0.025,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Iowa,112,quantile,0.5,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Iowa,126,quantile,0.975,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Iowa,59,quantile,0.025,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Iowa,73,quantile,0.5,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Iowa,90,quantile,0.975,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Iowa,37,quantile,0.025,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Iowa,49,quantile,0.5,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Iowa,68,quantile,0.975,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Iowa,24,quantile,0.025,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Iowa,35,quantile,0.5,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Iowa,53,quantile,0.975,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Idaho,290,quantile,0.025,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Idaho,360,quantile,0.5,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Idaho,439,quantile,0.975,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Idaho,265,quantile,0.025,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Idaho,299,quantile,0.5,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Idaho,340,quantile,0.975,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Idaho,217,quantile,0.025,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Idaho,246,quantile,0.5,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Idaho,280,quantile,0.975,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Idaho,169,quantile,0.025,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Idaho,206,quantile,0.5,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Idaho,255,quantile,0.975,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Idaho,132,quantile,0.025,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Idaho,177,quantile,0.5,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Idaho,241,quantile,0.975,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Idaho,104,quantile,0.025,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Idaho,154,quantile,0.5,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Idaho,229,quantile,0.975,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Illinois,2314,quantile,0.025,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Illinois,2671,quantile,0.5,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Illinois,3082,quantile,0.975,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Illinois,1663,quantile,0.025,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Illinois,1843,quantile,0.5,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Illinois,2044,quantile,0.975,05/30/2021
